City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,nogliki,51.8333,143.1667,289.85,73,95,3.34,RU,1691551502
303,flying fish cove,-10.4217,105.6791,298.97,83,100,7.2,CX,1691551239
304,ar ruways,24.1103,52.7306,306.61,57,2,0.59,AE,1691551503
305,panacan,9.2463,118.4082,303.46,67,35,2.38,PH,1691551504
306,tolanaro,-25.0319,46.9987,291.37,93,46,3.25,MG,1691551203
307,caetite,-14.0694,-42.475,292.98,68,0,4.77,BR,1691551433
308,yeniseysk,58.4497,92.1703,293.67,67,23,0.75,RU,1691551504
309,pariaman,-0.619,100.12,304.18,70,63,1.46,ID,1691551504
310,valle de la pascua,9.2155,-66.0073,296.88,92,64,1.58,VE,1691551505
311,diu,20.7141,70.9822,300.09,85,100,6.86,IN,1691551458
312,odienne,9.51,-7.5692,294.27,98,100,1.49,CI,1691551505
313,el granada,37.5027,-122.4694,295.34,85,100,5.14,US,1691551279
314,teguise,29.0605,-13.564,294.27,78,0,3.6,ES,1691551080
315,cam ranh,11.9214,109.1591,307.13,55,20,2.57,VN,1691551220
316,kiunga,-6.1219,141.2906,303.25,52,65,2.33,PG,1691551363
317,khorixas,-20.3667,14.9667,289.77,31,3,1.35,NA,1691551507
318,cuiaba,-15.5961,-56.0967,300.11,57,0,1.54,BR,1691551507
319,chesterton,41.6106,-87.0642,294.36,91,0,1.54,US,1691551507
320,kingston,17.997,-76.7936,303.68,83,20,4.63,JM,1691551298
321,tazacorte,28.629,-17.9293,294.69,72,0,2.68,ES,1691551255
322,codrington,-38.2667,141.9667,288.59,61,0,9.08,AU,1691551205
323,kruisfontein,-34.0033,24.7314,285.86,90,100,2.23,ZA,1691551318
324,chapeco,-27.0964,-52.6183,286.06,96,100,1.87,BR,1691551458
325,kristiansund,63.1115,7.732,286.18,94,75,1.54,NO,1691551411
326,yuzhno-kurilsk,44.0306,145.8556,293.4,98,100,5.65,RU,1691551154
327,usogorsk,63.4106,48.6872,288.97,65,8,1.28,RU,1691551510
328,vilhena,-12.7406,-60.1458,296.12,49,23,0.44,BR,1691551510
329,les avirons,-21.2418,55.3394,292.18,63,0,3.09,RE,1691551511
330,lianjiang,21.6467,110.2817,303.96,70,99,6.18,CN,1691551203
331,lander,42.833,-108.7307,288.69,69,75,5.14,US,1691551389
332,prince rupert,54.3161,-130.3201,288.2,96,100,5.14,CA,1691551209
333,apolinario saravia,-24.4328,-63.9954,287.37,40,28,3.69,AR,1691551512
334,belmonte,-15.8631,-38.8828,295.34,84,22,2.91,BR,1691551320
335,iquique,-20.2208,-70.1431,292.17,80,28,2.22,CL,1691551185
336,taltal,-25.4,-70.4833,290.77,64,24,1.5,CL,1691551460
337,greenville,35.6127,-77.3663,299.33,81,0,0.0,US,1691551347
338,san-pedro,4.7485,-6.6363,296.35,93,100,4.62,CI,1691551512
339,auki,-8.7676,160.7034,300.27,81,100,3.13,SB,1691551513
340,sisimiut,66.9395,-53.6735,279.53,70,22,0.95,GL,1691551317
341,augusto correa,-1.0217,-46.635,297.87,86,87,1.98,BR,1691551466
342,fauske,67.2588,15.3918,292.29,74,5,6.49,NO,1691551513
343,shiqian,27.5225,108.2281,302.83,77,41,1.32,CN,1691551146
344,kilindoni,-7.9139,39.6668,297.54,78,0,7.81,TZ,1691551225
345,new norfolk,-42.7826,147.0587,287.87,44,100,1.75,AU,1691551238
346,horta,38.5333,-28.6333,297.05,94,91,10.28,PT,1691551178
347,xilin hot,43.9667,116.0333,296.68,47,4,4.19,CN,1691551515
